Title,Link,Description
서해안고속도로 달리던 카캐리어 중앙분리대 들이받아…2명 경상,https://n.news.naver.com/mnews/article/119/0002675456?sid=102,"14일 낮 12시 5분께 전남 함평군 서해안고속도로 상행선 천지휴게소 인근에서 카캐리어 차량이 중앙분리대를... 사고 수습을 위해 경찰이 양방향 1차로를 잠시 통제했지만, 통행량이 많지 않아 차량 정체는 발생하지... "
서해안고속도로서 카캐리어 차량 중앙분리대 들이받아…4명 부상,https://n.news.naver.com/mnews/article/421/0006576523?sid=102,14일 낮 12시 11분 전남 함평군 서해안고속도로 서울 방향 함평나들목 인근에서 25톤 카캐리어 트레일러가... 지장이 없는 것으로 알려졌다. 경찰은 양방향 1차로를 통제하고 사고를 수습하고 다시 차량 통행을 재개했다.
서해안 고속도로서 카캐리어 중앙분리대 충돌...4명 부상,https://www.sisamagazine.co.kr/news/articleView.html?idxno=480114,경찰에 따르면 14일 낮 12시 5분경 전남 함평군 서해안고속도로 상행선 천지휴게소 인근에서 카캐리어 차량이 중앙분리대를 들이받았다. 이 사고로 파손된 중앙분리대 콘크리트 파편이 튀어 2차 피해를 입었다. 이... 
서해안고속도로서 카캐리어 사고…2명 경상,https://www.jeonmae.co.kr/news/articleView.html?idxno=934888,전남 함평군 서해안고속도로 상행선 천지휴게소 인근에서 카캐리어 차량이 중앙분리대를 들이받는 사고가 발생했다. 14일 경찰에 따르면 사고는 이날 오후 12시 5분께 발생했으며 파손된 중앙분리대 콘크리트가 반대편... 
고속도로서 트레일러가 중앙분리대 충격…2차 사고로 4명 부상,https://n.news.naver.com/mnews/article/448/0000391113?sid=102,오늘(14일) 낮 12시쯤 전남 함평군 서해안고속도로 서울 방향 함평나들목 인근에서 25톤 트레일러가... 트레일러 운전자 등 4명이 다쳤다. 경찰은 트레일러 운전자가 졸음운전을 했는지 등 정확한 사고 경위를 조사 중이다.
서해안고속도로서 카캐리어 중앙분리대 받아…운전자 2명 부상,https://n.news.naver.com/mnews/article/016/0002090796?sid=102,14일 낮 12시 5분쯤 전남 함평군 서해안고속도로 상행선 천지휴게소 인근에서 카캐리어 차량이 중앙분리대를... 경찰은 “양방향 1차로를 잠시 통제했지만 교통은 없었다”며 “정확한 사고 경위를 조사하고 있다”... 
서해안고속도로 달리던 카캐리어 중앙분리대 충격…2명 경상,https://n.news.naver.com/mnews/article/001/0013700207?sid=102,"14일 낮 12시 5분께 전남 함평군 서해안고속도로 상행선 천지휴게소 인근에서 카캐리어 차량이 중앙분리대를... 사고 수습을 위해 경찰이 양방향 1차로를 잠시 통제했지만, 통행량이 많지 않아 차량 정체는 발생하지... "
서해안고속도 함평나들목 인근서 트레일러 중앙분리대 충돌...4명 중·경상,http://www.newspim.com/news/view/20230114000114,14일 오후 12시 10분쯤 전남 함평군 서해안고속도로 서울 방향 함평나들목 인근에서 25톤 트레일러가... 경찰은 트레일러 운전자의 졸음운전으로 인한 사고로 보고 정확한 사고 경위를 조사 중이다.
[인사] 전라남도,http://kpenews.com/View.aspx?No=2687451,한국정경신문 최창윤 기­자 [한국정경신문(무안)=] 전남도 2023. 1. 16.자 인사발령■팀장급: 승진 34명 ▲ 사회적경제과 곽지수 ▲ 도로관리사업소 황정선 ▲ 희망인재육성과 송동하 ▲ 연구바이오산업과 이창용 ▲ 자치경찰... 
[부고]윤명성(경찰수사연수원장)씨 모친상,http://www.namdonews.com/news/articleView.html?idxno=710611,"▲김천례씨 별세, 윤형기·명성(경찰수사연수원장)·정호·기해·춘식씨 모친상=발인 15일(일) 오전 9시, 서울 송파구 경찰병원 장례식장 특1호실(02-431-4400), 장지 전남 나주 선영."
